Aythya sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Surf Scoter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
White-winged Scoter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
Long-tailed Duck,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
Bufflehead,117,91,127,90,95,76,51,82,89,100,44,70,72,36,53,63,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,86,88,69,63,47,51,52,104
Common Goldeneye,6,1,0,2,3,4,3,3,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,10,3,8
Hooded Merganser,65,59,87,45,83,73,57,47,42,42,9,24,20,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,61,68,47,59,42,48,39,84
Common Merganser,0,0,1,0,1,2,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1
Red-breasted Merganser,37,21,21,26,55,62,35,32,34,31,15,19,9,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,6,5,13,23,44
Ruddy Duck,99,64,118,53,35,4,15,49,61,56,20,62,52,36,60,37,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,4,26,48,68,90,83,64,54,41,40,36,87
duck sp.,3,0,1,1,2,1,0,2,3,4,1,5,1,2,1,1,2,0,0,2,1,0,0,0,1,0,1,1,2,2,1,5,2,3,1,1,1,1,5,4,3,2,3,5,0,3,1,4
waterfowl sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Wild Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pied-billed Grebe,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,7,15,25,54,46,3,1,1,0,0,0
Horned Grebe,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock Pigeon,268,206,223,253,168,226,180,214,232,294,239,434,349,371,507,750,803,799,611,488,193,175,147,183,135,150,171,215,176,139,190,335,263,364,338,450,366,367,309,392,305,242,172,282,205,185,187,215
Mourning Dove,177,126,163,194,127,154,144,139,171,289,182,400,370,367,456,751,790,734,627,482,149,122,93,111,93,89,114,164,149,113,200,263,244,338,302,402,323,293,269,245,192,146,133,169,137,119,128,163
pigeon/dove sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Yellow-billed Cuckoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,24,11,1,2,0,1,1,0,0,0,0,2,3,2,11,59,19,18,27,11,2,2,0,0,0,0,0,0,0,0
Black-billed Cuckoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,2,23,4,3,0,0,0,0,0,0,0,1,0,1,2,1,31,4,3,4,2,0,0,0,0,0,0,0,0,0,0
Yellow/Black-billed Cuckoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Common Nighthawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,15,7,3,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Whip-poor-will,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Chimney Swift,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,143,325,421,435,329,112,75,67,63,45,49,63,91,67,53,64,86,80,171,121,172,122,54,8,0,0,0,0,0,0,0,0,0
Ruby-throated Hummingbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,84,94,38,3,0,0,0,0,0,2,6,2,4,9,19,33,57,144,108,117,25,0,0,0,0,0,0,0,0,0,0,0
Clapper Rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
American Coot,79,62,119,55,80,66,39,49,43,58,17,39,57,36,47,29,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,7,33,52,81,80,64,48,29,34,28,68
rail/crake sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandhill Crane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Black-bellied Plover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semipalmated Plover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Killdeer,0,0,0,0,0,0,0,24,18,6,16,25,10,12,13,19,34,34,21,32,12,11,6,15,9,16,17,31,19,11,18,14,14,16,15,22,10,13,4,3,6,2,0,0,0,0,0,0
small plover sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudsonian Godwit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruddy Turnstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,1
Sanderling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purple Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
Least Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,1,0,0,0,0,0,5,9,17,19,13,13,66,25,14,8,3,0,0,0,0,0,0,0,0,0,0,0,0
Semipalmated Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,27,6,5,20,15,12,14,6,0,0,0,0,0,0,0,0,0,0,0,0
peep sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
American Woodcock,0,0,0,0,0,1,0,12,31,21,1,3,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,1,0,0
Wilson's Snipe,0,0,0,0,22,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Spotted Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,75,33,18,5,1,0,0,1,1,6,8,12,17,6,21,18,9,14,4,6,9,5,3,2,0,0,0,0,0,0,0,0
Solitary Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,129,53,0,0,0,0,0,0,0,0,3,1,2,0,7,18,22,18,7,2,1,1,0,0,0,0,0,0,0,0,0
Greater Yellowlegs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lesser Yellowlegs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,10,8,13,8,0,0,0,0,0,0,0,0,0,0,0,0
Greater/Lesser Yellowlegs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
shorebird sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
Bonaparte's Gull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0
Black-headed Gull,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laughing Gull,0,0,0,0,0,0,0,0,0,0,0,1,0,3,16,26,38,46,33,25,12,9,13,16,16,29,37,58,46,20,32,58,22,18,23,28,38,22,29,23,19,11,4,3,2,0,0,0
Ring-billed Gull,241,162,196,226,164,181,140,173,170,205,142,225,121,112,127,167,164,131,85,70,28,19,22,33,34,54,81,120,93,63,74,178,111,113,133,167,139,139,173,188,187,165,131,170,135,143,125,191
Herring Gull,200,119,163,161,124,127,110,129,129,146,105,173,126,123,176,225,246,234,176,167,71,64,60,81,48,70,89,121,91,66,73,199,122,143,133,177,150,159,169,195,171,157,122,144,105,107,89,151
Iceland Gull,0,8,11,1,8,2,3,1,6,1,0,2,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2
Lesser Black-backed Gull,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1
Glaucous Gull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1
Great Black-backed Gull,168,106,154,140,115,111,96,123,119,129,72,141,91,80,95,101,128,129,97,95,35,40,33,54,26,47,47,66,53,42,62,142,94,86,88,108,98,103,107,141,155,150,108,116,90,103,78,134
Larus sp.,20,10,11,3,4,7,3,6,5,3,5,7,7,13,18,37,29,24,11,20,10,8,10,9,7,14,1,5,6,6,5,5,10,6,8,6,11,7,11,12,23,20,8,23,16,18,9,13
gull sp.,33,30,36,26,20,32,18,31,12,16,26,40,8,11,2,12,6,6,4,2,0,0,2,1,0,4,5,9,2,3,4,21,15,14,12,11,18,33,26,36,32,28,22,45,31,30,25,24
Least Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caspian Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Black Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,25,26,17,17,17,26,22,23,26,26,26,12,11,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Forster's Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
